
Metodo de euler
y(0) = 1
H = 0.0100000000000000
0 1 0
1 1.05000000000000 0.0100000000000000
2 1.10190000000000 0.0200000000000000
3 1.15577600000000 0.0300000000000000
4 1.21170704000000 0.0400000000000000
5 1.26977532160000 0.0500000000000000
6 1.33006633446400 0.0600000000000000
7 1.39266898784256 0.0700000000000000
8 1.45767574735626 0.0800000000000000
9 1.52518277725051 0.0900000000000000
10 1.59529008834053 0.100000000000000
11 1.66810169187415 0.110000000000000
12 1.74372575954912 0.120000000000000
13 1.82227478993109 0.130000000000000
14 1.90386578152833 0.140000000000000
15 1.98862041278946 0.150000000000000
16 2.07666522930104 0.160000000000000
17 2.16813183847308 0.170000000000000
18 2.26315711201201 0.180000000000000
19 2.36188339649249 0.190000000000000
20 2.46445873235219 0.200000000000000
21 2.57103708164627 0.210000000000000
22 2.68177856491212 0.220000000000000
23 2.79684970750861 0.230000000000000
24 2.91642369580895 0.240000000000000
25 3.04068064364131 0.250000000000000
26 3.16980786938696 0.260000000000000
27 3.30400018416244 0.270000000000000
28 3.44346019152894 0.280000000000000
29 3.58839859919010 0.290000000000000
30 3.73903454315770 0.300000000000000
31 3.89559592488401 0.310000000000000
32 4.05831976187937 0.320000000000000
33 4.22745255235454 0.330000000000000
34 4.40325065444873 0.340000000000000
35 4.58598068062667 0.350000000000000
36 4.77591990785174 0.360000000000000
37 4.97335670416581 0.370000000000000
38 5.17859097233244 0.380000000000000
39 5.39193461122574 0.390000000000000
40 5.61371199567477 0.400000000000000
41 5.84426047550176 0.410000000000000
42 6.08393089452183 0.420000000000000
43 6.33308813030271 0.430000000000000
44 6.59211165551481 0.440000000000000
45 6.86139612173541 0.450000000000000
46 7.14135196660482 0.460000000000000
47 7.43240604526902 0.470000000000000
48 7.73500228707978 0.480000000000000
49 8.04960237856297 0.490000000000000
50 8.37668647370549 0.500000000000000

Metodo de runge_kutta
y(0) = 1
H = 0.0250000000000000
0 1 0
1 0.673437500000000 0.0250000000000000
2 0.470471191406250 0.0500000000000000
3 0.347649288177491 0.0750000000000000
4 0.276796022802592 0.100000000000000
5 0.239641171036056 0.125000000000000
6 0.224337634343692 0.150000000000000
7 0.223203309769738 0.175000000000000
8 0.231256833678814 0.200000000000000
9 0.245268103088606 0.225000000000000
10 0.263142598096518 0.250000000000000
11 0.283522153453211 0.275000000000000
12 0.305526083879816 0.300000000000000
13 0.328583320015818 0.325000000000000
14 0.352323559072757 0.350000000000000
15 0.376506682836241 0.375000000000000
16 0.400976989651625 0.400000000000000
17 0.425633516727226 0.425000000000000
18 0.450410796002811 0.450000000000000
19 0.475266375533073 0.475000000000000
20 0.500172727884727 0.500000000000000
21 0.525112003237752 0.525000000000000
22 0.550072627099480 0.550000000000000
23 0.575047094134819 0.575000000000000
24 0.600030537603047 0.600000000000000
25 0.625019801726976 0.625000000000000
26 0.650012840182336 0.650000000000000
27 0.675008326055733 0.675000000000000
28 0.700005398926765 0.700000000000000
29 0.725003500866574 0.725000000000000
30 0.750002270093169 0.750000000000000
31 0.775001472013540 0.775000000000000
32 0.800000954508780 0.800000000000000
33 0.825000618939287 0.825000000000000
34 0.850000401343444 0.850000000000000
35 0.875000260246140 0.875000000000000
36 0.900000168753356 0.900000000000000
37 0.925000109426005 0.925000000000000
38 0.950000070955925 0.950000000000001
39 0.975000046010483 0.975000000000001
40 1.00000002983492 1.00000000000000

Metodo de adam_bashforth
y(0) = 0.500000000000000
H = 0.200000000000000
0 0.500000000000000 0
1 0.829298600000000 0.2
2 1.21408770000000 0.4
3 1.64894060000000 0.6
4 1.64894060000000 0.8
5 2.06413830916667 1.0
6 2.52242605086805 1.2
7 3.05173486467564 1.4
8 3.64841098614184 1.6
9 4.31117121664411 1.8
10 5.04082097520628 2.0
